레벨별 몬스터 HP 설계용 · 10직업 비크리티컬 1회 공격 데미지
2026-09-11 / 현재 바탕화면 MSW 프로젝트 코드의 정적 계산 / UTF-8 메모장 문서
==========================================================================================
측정 범위와 가정
· Lv10~200, 10레벨 간격. Lv30=1차까지만, Lv70=2차까지만, Lv120=3차까지만 사용.
  다른 구간도 개별 스킬 요구레벨을 적용. 160 이후에도 4차까지만 계산(하이퍼 제외).
· 실제 Maker에서 반복 타격한 실측이 아니라 실행 수식을 옮긴 조건부 이론 평균이다.
· /lv 표준 레벨 곡선: 버프 전 총합 T=7L, 기본 전투력=floor((7L)^2/100).
  장비 잠재 추가데미지 0%, 초보자 공통 무기숙련 등 추가 공격력 0. 레벨만으로 실제 장비 구성은
  정해지지 않으므로 동일한 레벨 기준선을 사용했다. 직업 트레이닝·블레스·전투력 버프는 별도 적용.
· SP: 1차=3×clamp(L-9,0,20), 2차=3×clamp(L-29,0,40),
  3차=3×clamp(L-69,0,50), 4차=3×clamp(L-119,0,40). 차수 사이 SP 이동 없음.
· 배분 가정: 허용된 모든 투자 가능 스킬에 먼저 1포인트(버프·소환 포함), 대표 주력기 마스터,
  피해 관련 버프·강화 우선, 남은 포인트를 다른 스킬에 배분. 한 레벨의 모든 공격은 같은 빌드다.
  각 레벨에서 SP 재분배를 허용한 비교 빌드이며, 레벨업 중 자동으로 그대로 이어지는 육성표는 아니다.
  전 스킬 마스터 가정이 아니다. 상세부에 스킬별 실제 투자 수와 SP 사용량을 모두 적었다.
· 자기 직업·허용 차수의 습득한 버프와 소환은 활성 상태, 콤보·발도술은 해당 투자량의 최대 중첩.
  팔라딘 속성 4종은 동시 중첩 불가: 해당 빌드에서 직접타 배율이 가장 높은 속성 하나를 선택.
  나이트로드 표창 분산 OFF, 해금한 최상위 표창 사용. 섀도어는 후방/연막 조건을 적용.
· 기본 합계=적 한 마리에게 본체 1회 사용+확정 추가타(쉐도우 파트너 포함)의 모든 줄 합.
  확률포함 평균=위 값+파이널어택·암행 기대값. 암행은 적 한 마리만 있는 조건이다.
  합계는 타격별 정수 내림 전 평균이므로 실제 표시값과 작은 차이가 있다. 시전 전투력 내림은 반영.
· 섀도어는 은신 공격이 강제 크리티컬이다. 모든 버프 ON과 비크리 실측을 동시에 충족할 수 없다.
  HP 요약은 은신 해제 후 반복 공격값, 상세에는 은신 ×4에서 크리티컬만 제거한 가상 첫타를 병기.
· 독립 소환수·장판은 켜져 있어도 본체 1회마다 동시에 1타를 때리지 않는다. 별도 피해 단위를 표기.
  다크드래곤 랜덤 버프, 표식·유폭, 리커버리 오로라 안의 특수 연사는 기본 반복값에 합치지 않는다.
· 2/3/5회 HP는 평균 피해×횟수인 설계 참고값이다. 확정 N방 보장, 실제 평균 처치 횟수, DPS가 아니다.
  공격속도·대상 수·크리티컬·소환수 기여가 다르므로 같은 N방이 같은 처치 시간을 뜻하지 않는다.

레벨별 공통 HP 기준표 — 대표 주력기 확정 합계의 10직업 중앙값 사용
Lv | 차수 | 기본CP | 최소~최대 1회 | 중앙값 D | 2D HP | 3D HP | 5D HP | 현재 HP
 10 | 1차 |     49 | 11.88~61.25 | 15.19 | 31 | 46 | 76 | 110
 20 | 1차 |    196 | 237.16~411.60 | 255.07 | 511 | 766 | 1,276 | 595
 30 | 1차 |    441 | 533.61~926.10 | 599.31 | 1,199 | 1,798 | 2,997 | 1,653
 40 | 2차 |    784 | 827.12~3,328.10 | 1,748.32 | 3,497 | 5,245 | 8,742 | 3,693
 50 | 2차 |  1,225 | 1,292.38~5,204.58 | 2,731.75 | 5,464 | 8,196 | 13,659 | 6,949
 60 | 2차 |  1,764 | 1,861.02~7,491.77 | 3,933.72 | 7,868 | 11,802 | 19,669 | 11,703
 70 | 2차 |  2,401 | 2,533.05~10,200.28 | 5,354.23 | 10,709 | 16,063 | 26,772 | 18,007
 80 | 3차 |  3,136 | 5,863.36~19,033.43 | 15,373.51 | 30,748 | 46,121 | 76,868 | 28,320
 90 | 3차 |  3,969 | 7,969.25~26,335.44 | 20,952.34 | 41,905 | 62,858 | 104,762 | 41,917
100 | 3차 |  4,900 | 9,839.20~37,161.60 | 26,759.48 | 53,519 | 80,279 | 133,798 | 59,250
110 | 3차 |  5,929 | 11,904.93~44,963.64 | 32,211.33 | 64,423 | 96,634 | 161,057 | 80,767
120 | 3차 |  7,056 | 14,167.69~53,509.86 | 38,167.97 | 76,336 | 114,504 | 190,840 | 105,840
130 | 4차 |  8,281 | 23,435.23~119,987.55 | 82,899.63 | 165,800 | 248,699 | 414,499 | 133,531
140 | 4차 |  9,604 | 27,179.32~149,340.60 | 106,256.02 | 212,513 | 318,769 | 531,281 | 165,669
150 | 4차 | 11,025 | 31,200.75~171,433.62 | 121,575.78 | 243,152 | 364,728 | 607,879 | 202,584
160 | 4차 | 12,544 | 35,499.52~195,052.32 | 137,653.27 | 275,307 | 412,960 | 688,267 | 244,608
170 | 4차 | 14,161 | 40,075.63~220,196.70 | 154,677.98 | 309,356 | 464,034 | 773,390 | 292,070
180 | 4차 | 15,876 | 44,929.08~246,866.76 | 172,700.62 | 345,402 | 518,102 | 863,504 | 345,303
190 | 4차 | 17,689 | 50,059.87~275,062.50 | 191,713.10 | 383,427 | 575,140 | 958,566 | 404,635
200 | 4차 | 19,600 | 55,468.00~304,774.14 | 211,715.41 | 423,431 | 635,147 | 1,058,578 | 470,400
현재 HP는 MonsterHpTable.csv의 hp를 런타임과 같이 100으로 나눈 값. 실제 테이블은 변경하지 않았다.
중앙값은 열 직업 중 가운데 두 값의 평균이다. 이 표의 공통 HP를 적용하면 직업별 처치 횟수는 달라진다.

직업별 대표 주력기 — 본체 반복 공격 기준
비숍 3차는 홀리 에로우, 썬콜 3차는 콜드빔, 불독 3차는 파이어에로우, 신궁 4차는 스트레이프를
대표로 유지한다. 샤이닝 레이·광역 마법·충전기 등은 아래 모든 공격기 상세에서 따로 비교한다.

[01. 히어로]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
170 | 4차 | 22,657 | 불꽃 파도(30) | 164,942.96 | 164,942.96 | 329,886 / 494,829 / 824,715 | 1.77
180 | 4차 | 25,401 | 불꽃 파도(30) | 184,919.28 | 184,919.28 | 369,839 / 554,758 / 924,597 | 1.87
190 | 4차 | 28,302 | 불꽃 파도(30) | 206,038.56 | 206,038.56 | 412,078 / 618,116 / 1,030,193 | 1.96
200 | 4차 | 31,360 | 불꽃 파도(30) | 228,300.80 | 228,300.80 | 456,602 / 684,903 / 1,141,504 | 2.06

[07. 신궁]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 49 | 더블샷(1) | 13.50 | 13.50 | 27 / 41 / 68 | 8.15
 20 | 1차 | 196 | 더블샷(20) | 237.16 | 237.16 | 475 / 712 / 1,186 | 2.51
 30 | 1차 | 441 | 더블샷(20) | 533.61 | 533.61 | 1,068 / 1,601 / 2,669 | 3.10
 40 | 2차 | 784 | 아이언 에로우(20) | 1,850.24 | 1,850.24 | 3,701 / 5,551 / 9,252 | 2.00
 50 | 2차 | 1,225 | 아이언 에로우(20) | 2,891.00 | 3,599.30 | 5,782 / 8,673 / 14,455 | 2.40
 60 | 2차 | 1,764 | 아이언 에로우(20) | 4,163.04 | 5,182.98 | 8,327 / 12,490 / 20,816 | 2.81
 70 | 2차 | 2,401 | 아이언 에로우(20) | 5,666.36 | 7,054.62 | 11,333 / 17,000 / 28,332 | 3.18
 80 | 3차 | 3,136 | 스트레이프(30) | 19,033.43 | 23,696.62 | 38,067 / 57,101 / 95,168 | 1.49
 90 | 3차 | 3,969 | 스트레이프(30) | 24,089.18 | 29,991.03 | 48,179 / 72,268 / 120,446 | 1.74
100 | 3차 | 4,900 | 스트레이프(30) | 29,739.73 | 37,025.97 | 59,480 / 89,220 / 148,699 | 1.99
110 | 3차 | 5,929 | 스트레이프(30) | 35,985.08 | 44,801.42 | 71,971 / 107,956 / 179,926 | 2.24
120 | 3차 | 7,056 | 스트레이프(30) | 42,825.22 | 53,317.39 | 85,651 / 128,476 / 214,127 | 2.47
130 | 4차 | 8,281 | 스트레이프(30) | 50,260.15 | 62,573.89 | 100,521 / 150,781 / 251,301 | 2.66
140 | 4차 | 9,604 | 스트레이프(30) | 58,289.88 | 72,570.90 | 116,580 / 174,870 / 291,450 | 2.84
150 | 4차 | 11,025 | 스트레이프(30) | 66,914.40 | 83,308.43 | 133,829 / 200,744 / 334,573 | 3.03
160 | 4차 | 12,544 | 스트레이프(30) | 76,133.72 | 94,786.48 | 152,268 / 228,402 / 380,669 | 3.21
170 | 4차 | 14,161 | 스트레이프(30) | 85,947.83 | 107,005.05 | 171,896 / 257,844 / 429,740 | 3.40
180 | 4차 | 15,876 | 스트레이프(30) | 96,356.74 | 119,964.14 | 192,714 / 289,071 / 481,784 | 3.58
190 | 4차 | 17,689 | 스트레이프(30) | 107,360.44 | 133,663.74 | 214,721 / 322,082 / 536,803 | 3.77
200 | 4차 | 19,600 | 스트레이프(30) | 118,958.93 | 148,103.87 | 237,918 / 356,877 / 594,795 | 3.95

[08. 보우마스터]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 49 | 더블샷(1) | 13.50 | 13.50 | 27 / 41 / 68 | 8.15
 20 | 1차 | 196 | 더블샷(20) | 237.16 | 237.16 | 475 / 712 / 1,186 | 2.51
 30 | 1차 | 441 | 더블샷(20) | 533.61 | 533.61 | 1,068 / 1,601 / 2,669 | 3.10
 40 | 2차 | 784 | 속사(20) | 827.12 | 827.12 | 1,655 / 2,482 / 4,136 | 4.46
 50 | 2차 | 1,225 | 속사(20) | 1,292.38 | 1,609.01 | 2,585 / 3,878 / 6,462 | 5.38
 60 | 2차 | 1,764 | 속사(20) | 1,861.02 | 2,316.97 | 3,723 / 5,584 / 9,306 | 6.29
 70 | 2차 | 2,401 | 속사(20) | 2,533.05 | 3,153.65 | 5,067 / 7,600 / 12,666 | 7.11
 80 | 3차 | 3,136 | 스트레이프(30) | 19,033.43 | 23,696.62 | 38,067 / 57,101 / 95,168 | 1.49
 90 | 3차 | 3,969 | 스트레이프(30) | 24,089.18 | 29,991.03 | 48,179 / 72,268 / 120,446 | 1.74
100 | 3차 | 4,900 | 스트레이프(30) | 29,739.73 | 37,025.97 | 59,480 / 89,220 / 148,699 | 1.99
110 | 3차 | 5,929 | 스트레이프(30) | 35,985.08 | 44,801.42 | 71,971 / 107,956 / 179,926 | 2.24
120 | 3차 | 7,056 | 스트레이프(30) | 42,825.22 | 53,317.39 | 85,651 / 128,476 / 214,127 | 2.47
130 | 4차 | 8,281 | 폭풍의 시(30) | 23,435.23 | 29,176.86 | 46,871 / 70,306 / 117,177 | 5.70
140 | 4차 | 9,604 | 폭풍의 시(30) | 27,179.32 | 33,838.25 | 54,359 / 81,538 / 135,897 | 6.10
150 | 4차 | 11,025 | 폭풍의 시(30) | 31,200.75 | 38,844.93 | 62,402 / 93,603 / 156,004 | 6.49
160 | 4차 | 12,544 | 폭풍의 시(30) | 35,499.52 | 44,196.90 | 71,000 / 106,499 / 177,498 | 6.89
170 | 4차 | 14,161 | 폭풍의 시(30) | 40,075.63 | 49,894.16 | 80,152 / 120,227 / 200,379 | 7.29
180 | 4차 | 15,876 | 폭풍의 시(30) | 44,929.08 | 55,936.70 | 89,859 / 134,788 / 224,646 | 7.69
190 | 4차 | 17,689 | 폭풍의 시(30) | 50,059.87 | 62,324.54 | 100,120 / 150,180 / 250,300 | 8.08
200 | 4차 | 19,600 | 폭풍의 시(30) | 55,468.00 | 69,057.66 | 110,936 / 166,404 / 277,340 | 8.48

[09. 나이트로드]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 54 | 럭키세븐(1) | 11.88 | 11.88 | 24 / 36 / 60 | 9.26
 20 | 1차 | 282 | 럭키세븐(20) | 272.98 | 272.98 | 546 / 819 / 1,365 | 2.18
 30 | 1차 | 687 | 럭키세븐(20) | 665.02 | 665.02 | 1,331 / 1,996 / 3,326 | 2.49
 40 | 2차 | 1,228 | 럭키세븐(20) | 1,188.70 | 1,257.47 | 2,378 / 3,567 / 5,944 | 3.11
 50 | 2차 | 1,825 | 럭키세븐(20) | 1,766.60 | 2,044.97 | 3,534 / 5,300 / 8,834 | 3.93
 60 | 2차 | 2,539 | 럭키세븐(20) | 2,457.75 | 2,845.03 | 4,916 / 7,374 / 12,289 | 4.76
 70 | 2차 | 3,370 | 럭키세븐(20) | 3,262.16 | 3,776.20 | 6,525 / 9,787 / 16,311 | 5.52
 80 | 3차 | 4,500 | 트리플 스로우(29) | 14,085.90 | 17,174.70 | 28,172 / 42,258 / 70,430 | 2.01
 90 | 3차 | 5,611 | 트리플 스로우(30) | 21,543.72 | 26,139.71 | 43,088 / 64,632 / 107,719 | 1.95
100 | 3차 | 7,392 | 트리플 스로우(30) | 28,381.95 | 34,436.77 | 56,764 / 85,146 / 141,910 | 2.09
110 | 3차 | 8,857 | 트리플 스로우(30) | 34,006.89 | 41,261.70 | 68,014 / 102,021 / 170,035 | 2.38
120 | 3차 | 10,454 | 트리플 스로우(30) | 40,138.66 | 48,701.57 | 80,278 / 120,416 / 200,694 | 2.64
130 | 4차 | 12,635 | 쿼드러플 스로우(30) | 91,823.60 | 105,622.77 | 183,648 / 275,471 / 459,118 | 1.45
140 | 4차 | 15,085 | 쿼드러플 스로우(30) | 109,628.73 | 126,103.64 | 219,258 / 328,887 / 548,144 | 1.51
150 | 4차 | 17,227 | 쿼드러플 스로우(30) | 125,195.50 | 144,009.77 | 250,391 / 375,587 / 625,978 | 1.62
160 | 4차 | 19,511 | 쿼드러플 스로우(30) | 141,794.24 | 163,102.96 | 283,589 / 425,383 / 708,972 | 1.73
170 | 4차 | 21,937 | 쿼드러플 스로우(30) | 159,424.95 | 183,383.20 | 318,850 / 478,275 / 797,125 | 1.83
180 | 4차 | 24,505 | 쿼드러플 스로우(30) | 178,087.64 | 204,850.50 | 356,176 / 534,263 / 890,439 | 1.94
190 | 4차 | 27,215 | 쿼드러플 스로우(30) | 197,782.29 | 227,504.84 | 395,565 / 593,347 / 988,912 | 2.05
200 | 4차 | 30,067 | 쿼드러플 스로우(30) | 218,508.92 | 251,346.25 | 437,018 / 655,527 / 1,092,545 | 2.15

[10. 섀도어]
Lv | 차수 | 버프CP | 주력기(스킬Lv) | 확정 평균합 | 확률포함 평균 | 2회HP / 3회HP / 5회HP | 현재HP÷확정평균
 10 | 1차 | 49 | 더블스탭(1) | 17.55 | 17.55 | 36 / 53 / 88 | 6.27
 20 | 1차 | 196 | 더블스탭(20) | 308.31 | 308.31 | 617 / 925 / 1,542 | 1.93
 30 | 1차 | 441 | 더블스탭(20) | 693.69 | 693.69 | 1,388 / 2,082 / 3,469 | 2.38
 40 | 2차 | 784 | 새비지블로우(28) | 1,996.01 | 2,088.21 | 3,993 / 5,989 / 9,981 | 1.85
 50 | 2차 | 1,225 | 새비지블로우(30) | 3,322.20 | 3,714.59 | 6,645 / 9,967 / 16,611 | 2.09
 60 | 2차 | 1,764 | 새비지블로우(30) | 4,783.97 | 5,349.01 | 9,568 / 14,352 / 23,920 | 2.45
 70 | 2차 | 2,401 | 새비지블로우(30) | 6,511.51 | 7,280.60 | 13,024 / 19,535 / 32,558 | 2.77
 80 | 3차 | 3,136 | 새비지블로우(30) | 15,204.09 | 20,114.25 | 30,409 / 45,613 / 76,021 | 1.86
 90 | 3차 | 3,969 | 새비지블로우(30) | 23,120.92 | 32,106.02 | 46,242 / 69,363 / 115,605 | 1.81
100 | 3차 | 4,900 | 새비지블로우(30) | 28,544.34 | 42,030.07 | 57,089 / 85,634 / 142,722 | 2.08
110 | 3차 | 5,929 | 새비지블로우(30) | 34,538.65 | 50,856.39 | 69,078 / 103,616 / 172,694 | 2.34
120 | 3차 | 7,056 | 새비지블로우(30) | 41,103.85 | 60,523.30 | 82,208 / 123,312 / 205,520 | 2.57
130 | 4차 | 8,281 | 부메랑 스탭(30) | 57,987.54 | 69,382.98 | 115,976 / 173,963 / 289,938 | 2.30
140 | 4차 | 9,604 | 부메랑 스탭(30) | 67,251.82 | 80,467.83 | 134,504 / 201,756 / 336,260 | 2.46
150 | 4차 | 11,025 | 부메랑 스탭(30) | 77,202.34 | 92,373.79 | 154,405 / 231,608 / 386,012 | 2.62
160 | 4차 | 12,544 | 부메랑 스탭(30) | 87,839.11 | 105,100.84 | 175,679 / 263,518 / 439,196 | 2.78
170 | 4차 | 14,161 | 부메랑 스탭(30) | 99,162.12 | 118,649.00 | 198,325 / 297,487 / 495,811 | 2.95
180 | 4차 | 15,876 | 부메랑 스탭(30) | 111,171.37 | 133,018.25 | 222,343 / 333,515 / 555,857 | 3.11
190 | 4차 | 17,689 | 부메랑 스탭(30) | 123,866.87 | 148,208.61 | 247,734 / 371,601 / 619,335 | 3.27
200 | 4차 | 19,600 | 부메랑 스탭(30) | 137,248.61 | 164,220.06 | 274,498 / 411,746 / 686,244 | 3.43

==========================================================================================
레벨·직업별 전체 공격기 상세와 SP 배분
==========================================================================================
각 줄: 스킬명 Lv / 표시 줄 수 / 확정 평균합 / 확률포함 평균. 별도 표기 없는 공격은 적 1명 기준.
아래 시전CP는 공용 스킬 위력 보정(0.6+0.4×투자/마스터)을 적용한 값이다.
실제 코드에서 이 보정을 끄는 파워스트라이크·슬래시블러스트·차지 블로우·매직 미사일·브랜디쉬·
부메랑 스탭·돌진 및 별도 전투력 경로의 소환수·힐·드레인 샷에는 중복 적용하지 않았다.

######## Lv10 / 1차 이하 ########

히어로 / 버프CP 49 / 대표 파워스트라이크
  1차 SP 3/3: 파워스트라이크 3
  파워스트라이크 Lv3 / 1줄 / 확정 61.25 / 확률포함 61.25 / 시전CP 49
    계산: 49×평균배율 125.00%×1타

팔라딘 / 버프CP 49 / 대표 파워스트라이크
  1차 SP 3/3: 파워스트라이크 3
  파워스트라이크 Lv3 / 1줄 / 확정 61.25 / 확률포함 61.25 / 시전CP 49
    계산: 49×평균배율 125.00%×1타

다크나이트 / 버프CP 49 / 대표 파워스트라이크
  1차 SP 3/3: 파워스트라이크 3
  파워스트라이크 Lv3 / 1줄 / 확정 61.25 / 확률포함 61.25 / 시전CP 49
    계산: 49×평균배율 125.00%×1타

비숍 / 버프CP 49 / 대표 매직클로
  1차 SP 3/3: 매직클로 2, 매직 미사일 1
  매직클로 Lv2 / 2줄 / 확정 15.19 / 확률포함 15.19 / 시전CP 31
    계산: 31×평균배율 24.50%×2타
  매직 미사일 Lv1 / 1줄 / 확정 28.18 / 확률포함 28.18 / 시전CP 49
    계산: 49×평균배율 57.50%×1타

아크메이지(썬,콜) / 버프CP 49 / 대표 매직클로
  1차 SP 3/3: 매직클로 2, 매직 미사일 1
  매직클로 Lv2 / 2줄 / 확정 15.19 / 확률포함 15.19 / 시전CP 31
    계산: 31×평균배율 24.50%×2타
  매직 미사일 Lv1 / 1줄 / 확정 28.18 / 확률포함 28.18 / 시전CP 49
    계산: 49×평균배율 57.50%×1타

아크메이지(불,독) / 버프CP 49 / 대표 매직클로
  1차 SP 3/3: 매직클로 2, 매직 미사일 1
  매직클로 Lv2 / 2줄 / 확정 15.19 / 확률포함 15.19 / 시전CP 31
    계산: 31×평균배율 24.50%×2타
  매직 미사일 Lv1 / 1줄 / 확정 28.18 / 확률포함 28.18 / 시전CP 49
    계산: 49×평균배율 57.50%×1타

신궁 / 버프CP 49 / 대표 더블샷
  1차 SP 3/3: 더블샷 1, 에로우 블로우 1, 에로우 블로우 강화 1
  더블샷 Lv1 / 2줄 / 확정 13.50 / 확률포함 13.50 / 시전CP 30
    계산: 30×평균배율 22.50%×2타
  에로우 블로우 Lv1 / 1줄 / 확정 17.10 / 확률포함 17.10 / 시전CP 30
    계산: 30×평균배율 57.00%×1타

보우마스터 / 버프CP 49 / 대표 더블샷
  1차 SP 3/3: 더블샷 1, 에로우 블로우 1, 에로우 블로우 강화 1
  더블샷 Lv1 / 2줄 / 확정 13.50 / 확률포함 13.50 / 시전CP 30
    계산: 30×평균배율 22.50%×2타
  에로우 블로우 Lv1 / 1줄 / 확정 17.10 / 확률포함 17.10 / 시전CP 30
    계산: 30×평균배율 57.00%×1타

나이트로드 / 버프CP 54 / 대표 럭키세븐
  1차 SP 3/3: 럭키세븐 1, 표창+ 1, 트레이닝 1
  럭키세븐 Lv1 / 2줄 / 확정 11.88 / 확률포함 11.88 / 시전CP 33
    계산: 33×평균배율 18.00%×2타

섀도어 / 버프CP 49 / 대표 더블스탭
  1차 SP 3/3: 더블스탭 1, 다크사이트 1, 분신 소환 1
  더블스탭 Lv1 / 2줄 / 확정 17.55 / 확률포함 17.55 / 시전CP 30
    계산: 30×평균배율 29.25%×2타×후방 1.00
    다크사이트 ON 가상 비크리 첫타: 70.20 (반복 기준 아님; 실제 은신 공격은 강제 크리).
  독립 AI/회복 소환 활성: 분신 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

######## Lv20 / 1차 이하 ########

히어로 / 버프CP 196 / 대표 파워스트라이크
  1차 SP 33/33: 파워스트라이크 20, 러시 12, 슬래시블러스트 1
  파워스트라이크 Lv20 / 1줄 / 확정 411.60 / 확률포함 411.60 / 시전CP 196
    계산: 196×평균배율 210.00%×1타
  슬래시블러스트 Lv1 / 1줄 / 확정 112.70 / 확률포함 112.70 / 시전CP 196
    계산: 196×평균배율 57.50%×1타

팔라딘 / 버프CP 196 / 대표 파워스트라이크
  1차 SP 33/33: 파워스트라이크 20, 러시 12, 슬래시블러스트 1
  파워스트라이크 Lv20 / 1줄 / 확정 411.60 / 확률포함 411.60 / 시전CP 196
    계산: 196×평균배율 210.00%×1타
  슬래시블러스트 Lv1 / 1줄 / 확정 112.70 / 확률포함 112.70 / 시전CP 196
    계산: 196×평균배율 57.50%×1타

다크나이트 / 버프CP 196 / 대표 파워스트라이크
  1차 SP 33/33: 파워스트라이크 20, 슬래시블러스트 13
  파워스트라이크 Lv20 / 1줄 / 확정 411.60 / 확률포함 411.60 / 시전CP 196
    계산: 196×평균배율 210.00%×1타
  슬래시블러스트 Lv13 / 1줄 / 확정 171.50 / 확률포함 171.50 / 시전CP 196
    계산: 196×평균배율 87.50%×1타

비숍 / 버프CP 196 / 대표 매직클로
  1차 SP 33/33: 매직클로 20, 매직 미사일 13
  매직클로 Lv20 / 2줄 / 확정 237.16 / 확률포함 237.16 / 시전CP 196
    계산: 196×평균배율 60.50%×2타
  매직 미사일 Lv13 / 1줄 / 확정 171.50 / 확률포함 171.50 / 시전CP 196
    계산: 196×평균배율 87.50%×1타

아크메이지(썬,콜) / 버프CP 196 / 대표 매직클로
  1차 SP 33/33: 매직클로 20, 매직 미사일 13
  매직클로 Lv20 / 2줄 / 확정 237.16 / 확률포함 237.16 / 시전CP 196
    계산: 196×평균배율 60.50%×2타
  매직 미사일 Lv13 / 1줄 / 확정 171.50 / 확률포함 171.50 / 시전CP 196
    계산: 196×평균배율 87.50%×1타

아크메이지(불,독) / 버프CP 196 / 대표 매직클로
  1차 SP 33/33: 매직클로 20, 매직 미사일 13
  매직클로 Lv20 / 2줄 / 확정 237.16 / 확률포함 237.16 / 시전CP 196
    계산: 196×평균배율 60.50%×2타
  매직 미사일 Lv13 / 1줄 / 확정 171.50 / 확률포함 171.50 / 시전CP 196
    계산: 196×평균배율 87.50%×1타

신궁 / 버프CP 196 / 대표 더블샷
  1차 SP 33/33: 더블샷 20, 에로우 블로우 1, 에로우 블로우 강화 12
  더블샷 Lv20 / 2줄 / 확정 237.16 / 확률포함 237.16 / 시전CP 196
    계산: 196×평균배율 60.50%×2타
  에로우 블로우 Lv1 / 1줄 / 확정 95.59 / 확률포함 95.59 / 시전CP 121
    계산: 121×평균배율 79.00%×1타

보우마스터 / 버프CP 196 / 대표 더블샷
  1차 SP 33/33: 더블샷 20, 에로우 블로우 1, 에로우 블로우 강화 12
  더블샷 Lv20 / 2줄 / 확정 237.16 / 확률포함 237.16 / 시전CP 196
    계산: 196×평균배율 60.50%×2타
  에로우 블로우 Lv1 / 1줄 / 확정 95.59 / 확률포함 95.59 / 시전CP 121
    계산: 121×평균배율 79.00%×1타

나이트로드 / 버프CP 282 / 대표 럭키세븐
  1차 SP 33/33: 럭키세븐 20, 표창+ 1, 트레이닝 12
  럭키세븐 Lv20 / 2줄 / 확정 272.98 / 확률포함 272.98 / 시전CP 282
    계산: 282×평균배율 48.40%×2타

섀도어 / 버프CP 196 / 대표 더블스탭
  1차 SP 33/33: 더블스탭 20, 다크사이트 12, 분신 소환 1
  더블스탭 Lv20 / 2줄 / 확정 308.31 / 확률포함 308.31 / 시전CP 196
    계산: 196×평균배율 78.65%×2타×후방 1.00
    다크사이트 ON 가상 비크리 첫타: 1,233.23 (반복 기준 아님; 실제 은신 공격은 강제 크리).
  독립 AI/회복 소환 활성: 분신 소환 — 선택 직업·행동·공격 횟수에 따라 달라 본체 합계에 고정 가산하지 않음.

######## Lv30 / 1차 이하 ########

히어로 / 버프CP 441 / 대표 파워스트라이크
  1차 SP 55/60: 파워스트라이크 20, 러시 15, 슬래시블러스트 20
  파워스트라이크 Lv20 / 1줄 / 확정 926.10 / 확률포함 926.10 / 시전CP 441
    계산: 441×평균배율 210.00%×1타
  슬래시블러스트 Lv20 / 1줄 / 확정 463.05 / 확률포함 463.05 / 시전CP 441
    계산: 441×평균배율 105.00%×1타

팔라딘 / 버프CP 441 / 대표 파워스트라이크
  1차 SP 55/60: 파워스트라이크 20, 러시 15, 슬래시블러스트 20
  파워스트라이크 Lv20 / 1줄 / 확정 926.10 / 확률포함 926.10 / 시전CP 441
    계산: 441×평균배율 210.00%×1타
  슬래시블러스트 Lv20 / 1줄 / 확정 463.05 / 확률포함 463.05 / 시전CP 441
    계산: 441×평균배율 105.00%×1타

다크나이트 / 버프CP 441 / 대표 파워스트라이크
  1차 SP 40/60: 파워스트라이크 20, 슬래시블러스트 20
  파워스트라이크 Lv20 / 1줄 / 확정 926.10 / 확률포함 926.10 / 시전CP 441
    계산: 441×평균배율 210.00%×1타
  슬래시블러스트 Lv20 / 1줄 / 확정 463.05 / 확률포함 463.05 / 시전CP 441
    계산: 441×평균배율 105.00%×1타

비숍 / 버프CP 441 / 대표 매직클로
  1차 SP 40/60: 매직클로 20, 매직 미사일 20
  매직클로 Lv20 / 2줄 / 확정 533.61 / 확률포함 533.61 / 시전CP 441
    계산: 441×평균배율 60.50%×2타
  매직 미사일 Lv20 / 2줄 / 확정 926.10 / 확률포함 926.10 / 시전CP 441
    계산: 441×평균배율 105.00%×2타

아크메이지(썬,콜) / 버프CP 441 / 대표 매직클로
  1차 SP 40/60: 매직클로 20, 매직 미사일 20
  매직클로 Lv20 / 2줄 / 확정 533.61 / 확률포함 533.61 / 시전CP 441
    계산: 441×평균배율 60.50%×2타
  매직 미사일 Lv20 / 2줄 / 확정 926.10 / 확률포함 926.10 / 시전CP 441
    계산: 441×평균배율 105.00%×2타

아크메이지(불,독) / 버프CP 441 / 대표 매직클로
  1차 SP 40/60: 매직클로 20, 매직 미사일 20
  매직클로 Lv20 / 2줄 / 확정 533.61 / 확률포함 533.61 / 시전CP 441
    계산: 441×평균배율 60.50%×2타
  매직 미사일 Lv20 / 2줄 / 확정 926.10 / 확률포함 926.10 / 시전CP 441
    계산: 441×평균배율 105.00%×2타

